precatalyst_scaffold_SMILES,ligand_SMILES,t_res,temperature,catalyst_loading,yld
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,60,30,2.513,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,30,0.51,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,600,30,2.511,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,60,30,0.499,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,600,30,0.501,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,30,2.512,0.2
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,30,0.509,0.2
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,2.515,82.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,60,110,0.508,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,600,110,0.514,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,600,110,2.496,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,0.503,25.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,60,110,2.504,42.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,0.51,23.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,2.493,91.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,189.7,110,1.117,86.5
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,189.7,110,2.515,86.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,189.7,110,2.496,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,60,110,1.106,4.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,189.7,110,2.493,78.8
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,2.494,86.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,60,110,2.504,49.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,189.7,65.3,1.106,4.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,189.7,65.3,2.511,5.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,65.3,1.105,7.6
