experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=90}",22.94,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
2,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",0.74,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
3,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.057, temperature=120}",2.59,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
4,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",7.74,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
5,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=105}",0,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
6,physicochemical_descriptors,2,af_review,5,6,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CP(C1=CC=CC=C1)C2=CC=CC=C2, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=90}",0,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
7,physicochemical_descriptors,2,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=90}",60.68,"Selected Upper Confidence Bound (UCB) with beta=2.0 for explicit exploration control in this early campaign phase (0/40 observations). With a fully categorical 5-variable space (26 total categories) and no prior data, aggressive exploration is warranted to test the high-confidence FMO hypothesis (H1) and identify promising regions. UCB's explicit beta parameter allows tuning exploration vs exploitation; beta=2.0 provides ~95% confidence interval coverage for early diverse sampling. Will reduce beta toward 0.5 as data accumulates and we shift to exploitation. [KB:bo_acquisition_selection], [HYPOTHESIS:H1,H3], [RULE:R3_exploration_phase]","Matérn-5/2 is the default general-purpose kernel for BO with excellent low-data performance. With 51-dimensional physicochemical embeddings and only 40 budget points, we need a kernel that provides stable uncertainty estimates without overfitting. Matérn-5/2 offers a good balance between smoothness and flexibility for chemical reaction optimization. [KB:bo_kernel_selection], [RULE:R2_default_kernel]"
8,physicochemical_descriptors,3,af_review,7,8,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=90}",0.66,"Selecting UCB with elevated beta=2.0 to force stronger exploration after the model breakdown. The GP with physicochemical embeddings proved catastrophically wrong (predicted 20.8% for actual 60.7%), indicating the model cannot be trusted for exploitation. UCB with high beta prioritizes uncertainty reduction and diverse exploration over greedy improvement. This aligns with the need to: (1) confirm the 60.68% result is reproducible, (2) explore concentration gradients, (3) test alternative K+ carboxylates, and (4) verify DMF alternatives. The high beta compensates for poor uncertainty calibration in the failed embedding space. [CONFIG:v1->v2], [OBS:iter7], [HYPOTHESIS:H3_REVISED]","Switching from Matern52 to Matern32 to better handle the rough, discontinuous response surface revealed by the 40-point prediction error. The Matern32 kernel has a rougher prior that is more tolerant of abrupt categorical effects (ligand identity, solvent) and non-smooth transitions. This addresses the catastrophic model failure where the GP was overconfident and wrong. The chemistry space has sharp boundaries (Brettphos vs non-Brettphos, DMF vs non-DMF) that violate smoothness assumptions. [CONFIG:v1->v2], [OBS:iter7], [RULE:R5]"
9,physicochemical_descriptors,3,af_review,8,9,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",80.39,"Selecting UCB with elevated beta=2.0 to force stronger exploration after the model breakdown. The GP with physicochemical embeddings proved catastrophically wrong (predicted 20.8% for actual 60.7%), indicating the model cannot be trusted for exploitation. UCB with high beta prioritizes uncertainty reduction and diverse exploration over greedy improvement. This aligns with the need to: (1) confirm the 60.68% result is reproducible, (2) explore concentration gradients, (3) test alternative K+ carboxylates, and (4) verify DMF alternatives. The high beta compensates for poor uncertainty calibration in the failed embedding space. [CONFIG:v1->v2], [OBS:iter7], [HYPOTHESIS:H3_REVISED]","Switching from Matern52 to Matern32 to better handle the rough, discontinuous response surface revealed by the 40-point prediction error. The Matern32 kernel has a rougher prior that is more tolerant of abrupt categorical effects (ligand identity, solvent) and non-smooth transitions. This addresses the catastrophic model failure where the GP was overconfident and wrong. The chemistry space has sharp boundaries (Brettphos vs non-Brettphos, DMF vs non-DMF) that violate smoothness assumptions. [CONFIG:v1->v2], [OBS:iter7], [RULE:R5]"
10,physicochemical_descriptors,3,af_review,9,10,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=120}",62.15,"Selecting UCB with elevated beta=2.0 to force stronger exploration after the model breakdown. The GP with physicochemical embeddings proved catastrophically wrong (predicted 20.8% for actual 60.7%), indicating the model cannot be trusted for exploitation. UCB with high beta prioritizes uncertainty reduction and diverse exploration over greedy improvement. This aligns with the need to: (1) confirm the 60.68% result is reproducible, (2) explore concentration gradients, (3) test alternative K+ carboxylates, and (4) verify DMF alternatives. The high beta compensates for poor uncertainty calibration in the failed embedding space. [CONFIG:v1->v2], [OBS:iter7], [HYPOTHESIS:H3_REVISED]","Switching from Matern52 to Matern32 to better handle the rough, discontinuous response surface revealed by the 40-point prediction error. The Matern32 kernel has a rougher prior that is more tolerant of abrupt categorical effects (ligand identity, solvent) and non-smooth transitions. This addresses the catastrophic model failure where the GP was overconfident and wrong. The chemistry space has sharp boundaries (Brettphos vs non-Brettphos, DMF vs non-DMF) that violate smoothness assumptions. [CONFIG:v1->v2], [OBS:iter7], [RULE:R5]"
