experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,physicochemical_descriptors,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
2,physicochemical_descriptors,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=90}",0,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
3,physicochemical_descriptors,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
4,physicochemical_descriptors,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=120}",4.48,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
5,physicochemical_descriptors,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=90}",0,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
6,physicochemical_descriptors,2,af_review,5,6,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.15,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
7,physicochemical_descriptors,2,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
8,physicochemical_descriptors,2,af_review,7,8,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.1, temperature=105}",6.24,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
9,physicochemical_descriptors,2,af_review,8,9,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
10,physicochemical_descriptors,2,af_review,9,10,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",78.95,"Log Expected Improvement (log_ei) is the default stable acquisition function for single-objective BO. At campaign start with no observations and 40 budget remaining, we need reliable improvement-based exploration that handles numerical stability well. UCB with high beta could be considered for more aggressive early exploration, but log_ei provides a balanced approach that automatically trades off exploration and exploitation based on the GP uncertainty. Thompson Sampling would be suitable if we needed diverse batch suggestions, but with batch_size=1, log_ei is the optimal choice.","Matérn-5/2 is the default safe choice for general BO with moderate smoothness assumptions. For this DAR optimization with 51-dimensional physicochemical descriptor embeddings and a budget of 40, it provides a good balance between flexibility and stability. The Diels-Alder reaction yield surface is expected to be moderately smooth with respect to electronic and steric descriptors, making Matern-5/2 appropriate. Higher-dimensional spectral mixture kernels (SMKBO) would require more data to fit reliably, and rougher kernels (Matern-3/2) are unnecessary given the expected smooth structure-activity relationships in DAR chemistry."
