experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
2,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
3,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
4,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
5,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",38.48,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
6,one_hot,2,af_review,5,6,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",88.41,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
7,one_hot,2,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=90}",79.33,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
8,one_hot,2,af_review,7,8,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",89.17,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
9,one_hot,2,af_review,8,9,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CCCCOC(C)=O, concentration=0.057, temperature=105}",16.39,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
10,one_hot,2,af_review,9,10,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",61,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
